,Tweets
268,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
269,"Should we be concerned that April 3rd will be the final countdown?
4.3.21 🙃"
270,"RT @NASAJPL: Come fly with us. #MarsHelicopter is preparing to do something that's never been done: controlled, powered flight on another p…"
271,plot twist greys are using lexie as a april fools joke 🤷🏼‍♀️
272,@Nemwolf1 @CedarGoat @Duran__Wolf I forgot it was April Fools!
273,Amateur Radio Newsline Report 2266 for Friday April 2 2021 https://t.co/h0NNw2T21j
274,"RT @TheUndefeated: Happy birthday to activist, musician and poet Gil Scott Heron (April 1, 1949-May 27, 2011).

Take a listen to our cover…"
275,"The word for April is ... 
*drum roll* 

Drunk."
276,@scramblegambl any minute now... just waiting for the april fools 😆😆
277,"Enquire Parambir 4 SSR
April fools Joke~ Chalo Ek Suna hi Dete Hain😉
Anti Drugs Campaign ke Brand kuch Brand Ambass… https://t.co/35kMwIKcQe"
278,RT @Unite_NorthWest: “As a result of the failure of the talks Unite will be stepping up its campaign to ensure that @gnwbus drops its plans…
279,"RT @samaanthaax_: Men deserve the world ♥️

Happy April Fools Everyone"
280,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
281,"RT @Lost_Pause_: Only fooling people on April Fool's day is such a weak mindset

I try and fool every day of the year. Way more fun."
282,RT @thaboyjozu: It’s April but the only fool is me
283,@LaurenzSide April fools day can be confusing like that at times even I get confused on April fools
284,RT @httphearts: i pray that april will be full of good news &amp; blessings.
285,@JRKSketch its april fools dumbo
286,RT @SavageGasp: egirls went gold today &lt;3 (not april fools)
287,"RT @DanRather: I was thinking of tweeting today, “See you later, Twitter. I’m out.” for April Fools’ Day, but I didn’t think I’d fool many…"
288,"RT @celesitial: 🎐☁️ april ☁️🎐 

cancer scorpio pisces

this month brings brutal realizations that will lead to growth. you have a hard time…"
289,@katelexiidami April 2nd 12am.
290,RT @ayodocc: april fools fell off
291,"RT @paramountplus: ♥️ #MarchMadness on Paramount+?

♥️ this tweet to be reminded on April 5th to watch the NCAA® Men’s National Championshi…"
292,RT @withmerrci: April smells like success.
293,"RT @ME50097627: @btschartdata ARMY PLEASE WAITTT!!!!!!!!
Reminder to please wait until TONIGHT to start purchasing Film Out track to take a…"
294,RT @ggislost: cc’s april fools jokes so far - an ongoing thread:
295,"April fools, might still be a Rockies fan"
296,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
297,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
298,💥BREAKING💥: The mass eviction of encampment residents planned for April 6th is on hiatus due to a COVID-19 outbreak… https://t.co/4i6pLDzReA
299,"RT @JW_Cartoonist: This is unfortunately not an April Fools joke.

It appears this series will be following it's own continuity, which does…"
300,"RT @diorislat: April will be full of self love
April will be full of smiles
April will be full of dreams
April will be full of sunshine"
301,"RT @Standards4EU: Upcoming #1010webinar on 9 April at 10:00.
Join @MianLivia and Luc Van den Berghe about #standardization in #HorizonEurop…"
302,RT @thaboyjozu: It’s April but the only fool is me
303,RT @zoolootoo: The real April fools are the friends we made along the way
304,RT @ade4lahanmii: You will recieve money in this Month of APRIL don’t ignore 🤞🏽 https://t.co/wRm03m45Dy
305,RT @mikro_kosmos_: since it’s april fools let me show u the best joke ive ever heard https://t.co/dopUqyTI4w
306,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
307,"#Russia / #Ukraine:

Military equipment seen on Train near the Train Station of Yesk, opposite side of Mariupol on… https://t.co/Dc33MadSn4"
308,RT @sabaPIVOT: I heard you 👂🏾 April 5th save the date https://t.co/iOS6pOsnob
309,"RT @PaddedPink: 2,000 follower giveaway!!!
First prize gets a $50 ABU gift code
Second prize gets a $30 ABU gift code

To enter:
1: Must be…"
310,RT @bekaoliviaaa: April fools in lockdown this year... I guess I'm the biggest fool for not locking down your love. You can't spell quarant…
311,RT @dearra: April baby 🔥 https://t.co/EwX97utG3l
312,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
313,ITS APRIL ! The best month out of the 12 baby 🥳
314,RT @jadizzle2: Idk about anyone else..but I’m about to touch so much money in April it ain’t even funny. All month long at that💸💸 https://t…
315,RT @haematiclove: i hope your April is as kind and beautiful as you are
316,"RT @Qldaah: ""David Littleproud is 2021's April Fool.""@StevenJMiles lambasting the feds over failure to engage with Qld in building a nation…"
317,RT @ifhymia: idk what april fools is i lie everyday
318,"RT @TerriIrwin: Beautiful baby Grace, first croc encounter...April Fool’s! https://t.co/LxmHVxKyH3"
319,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
320,@trains_are_good Nice April Fools almost got me
321,RT @MayWardArticle: Cinemark welcomes Filipino movies back in Cinema! Princess Dayareese on limited theatrical screening starting April 16.…
322,"RT @laliaristo: Happy #indieApril #writingCommunity! 💚💫

Check out the 45th #book review of Her Name is Murder by the fabulous @Blink_Drive…"
323,RAID feat. my very funny april fools joke stay tuned https://t.co/0i6YQKn16y
324,RT @cinnamonpepsi: as for whether this is an april fools joke? https://t.co/xmlJYa1U5f
325,"RT @fakesizonedani: Kkura said on mail that Nako keot going Ummmmm next to her so she asked what she was thinking sbout

And Nako replied s…"
326,"RT @TheAnimatedBat: Alfred: ""Rough night of crime fighting, sir""

Bruce: ""Very.""

Alfred: ""Well, you'll be happy to know I've drawn you a b…"
327,RT @Yaoyaobae: happy april fools 🙈 #twst https://t.co/85R5ZeLgYS
328,"My life may be an april fools joke, but this stream isn't, COME WATCH https://t.co/YBRwuY8B4u"
329,"RT @MISSDIORJISOO: April 2- April 23- March 19 is probably her longest inactivity, we'll get through this sooyas 😥"
330,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
331,"Anyway I had my fun, April fools"
332,RT @jahnellll: Terrible April Fools joke. I been yelling “COPY” for 25 minutes. I had to call maintenance and everything. https://t.co/ORXp…
333,hoping she left me on read as an April fools prank 😅
334,RT @charts_k: 'Film Out' (@BTS_twt) debuts at #1 on iTunes Japan! 🇯🇵
335,"RT @Hyundai_Global: The exclusive #BehindtheScenes of #HyundaixBTS is coming to you on April 2nd, on Channel Hyundai. We’ve been collaborat…"
336,@liljarviss I know it is April fools lmaoo
337,"RT @ProjectLincoln: On this April Fools Day, let’s remember what a joke the GOP has become."
338,@Trib3cho April fools my nigga
339,@dippedinpoison April 1? That's my birthday too! Happy Birthday!
340,RT @ironpinky: T B T Smashy smashy. 25% off print sale still going on! Event ends April 7th. Head to https://t.co/4FUGmIrM14 🙌❤️ #smashbros…
341,I personally don’t think anyone needs any more fools April or not thank you goodnight.
342,@LilNasX it's 1 april right?
343,RT @minjimouse_art: Look what I found buried in my WIP folder! Does anyone still remember this Rust fit.....? 😅 Forgot to post it then and…
344,"RT @HuobiGlobal: 💰 $8,800 GIVEAWAY!

Huobi #April Fools Airdrop!

Follow:
🔹 @DujunX
🔹 @HuobiTech
🔹 @HuobiGlobal
🔹 @CiaraHuobi

Retweet this…"
345,RT @ChildrnsCottage: April is Be a Donor Month. You can make an incredible difference in the lives of Calgary’s vulnerable children and fam…
346,RT @yenalver: did we all expect that izone will be having final album before april 29 even if we had no extensions or was it just me?
347,@_nabbe April Fool’s Week🎉
348,"It's April 1, but this is no joke: we have a new page  dedicated to #EarthDay2021! Check it out, and scroll down fo… https://t.co/B2FkZsJMMb"
349,"RT @samaanthaax_: Men deserve the world ♥️

Happy April Fools Everyone"
350,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
351,RT @TheCryptoCandy: $XRP to $1 in April or I'm giving away 1000 $XRP to someone who retweets this.
352,@makeupafnaffan April fools bruvs
353,Ok this is a really good ironic April fools. https://t.co/NgZIWPS7xv
354,"RT @JyotiGondek: April is Sikh Heritage Month! It’s a great opportunity to celebrate the contributions of the Sikh community, both locally…"
355,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
356,"@meltedbananataf @CryGrip_ WAIT I KNOW WHY
BECAUSE SOMEONE SAID APRIL 2ND IS JUST PART TWO
OMG THE PIECES ARE ALL TOGETHER"
357,RT @benjpasek: Too fragile for your April fools jokes since 2016.
358,"RT @ctznxlmvn: ✨TGID: THANK GOD IT’S DOYOUNG DAY✨

📆 Friday, 2 April 2021
🐰 Theme: Doyoung &amp; Gongmyung

#NCT도영 #DOYOUNG #도영 #DoyoungYouAreL…"
359,"RT @JumaraloHexCore: Birthday: Urf

On a day like today April 1, 11 Years Ago in 2010, Urf, The Manatee was never released https://t.co/LUO…"
360,"RT @ixavieruncle: No april fool's , I'm the fool"
361,"@robw00ds Was just gonna tweet about Livermore chart and ocean, MEGA bullish for april!"
362,RT @pabstgod: it’s april but i’m the only fool here😔
363,RT @keybladegeorge: april fools doesn’t count when your entire life has been a joke
364,RT @DaddyJitsu: April fools on the tl is just this https://t.co/2p8o0zUSom
365,the two game company april fools punchlines are 1) fake dating sim and 2) fake fighting game
366,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
367,"RT @NASA_Marshall: Crew-2, our next Crew Dragon mission to the @Space_Station, is targeted for Thursday, April 22—here's how you can follow…"
368,"RT @FDSportsbook: 🚨 GIVEAWAY 🚨

To celebrate #OpeningDay we're hooking up one lucky follower with a FREE MLB jersey and hat! 🧢

To enter:
①…"
369,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
370,April fools day stop keep???
371,"RT @WowzaDawg: Totally epic april fool's prank
RT to prank the heck out of your followers https://t.co/iCdGhBUBB1"
372,RT @allyxchoi: fuck april fools im horny
373,@CozyRy Idk if this is April Fools my friend. Tomorrow is Good Friday. A ton of places are closed
374,RT @saimbtw: Anime fans just feel pain on April fools https://t.co/EcuBkmNr4j
375,RT @MaxGeorge: Happy April
376,April Fooled Me 👌🏽😭🤣 https://t.co/DoKRrFzcVh
377,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
378,"RT @Sonic_Hedgeblog: Reminded today of the April Fools post on Sonic HQ back in 2000 - 'Knuckles Adventure' wallpaper, with art by Lien ""Ch…"
379,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
380,RT @httphearts: i pray that april will be full of good news &amp; blessings.
381,RT @imsofate: FATTY SPINS DOES NFTS THIS IS NOT AN APRIL FOOLS YOU CAN FIND IT ON THE OG VID OH MY GOD https://t.co/EwTqQlb90G
382,RT @BriannaWu: Thread: The story of how @mattgaetz became a target of the Trump justice department is even crazier and weirder than you can…
383,"RT @TerriIrwin: Beautiful baby Grace, first croc encounter...April Fool’s! https://t.co/LxmHVxKyH3"
384,"RT @TodayJojo: April 1, 2002 , Stone Ocean Manga Chapter 108 “Bohemian Rhapsody, Part 5” was released! https://t.co/Cnjc7I3m0o"
385,@syrinababes April fools bitch
386,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
387,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
388,RT @laurenboebert: April Fool’s Day feels a bit less relevant this year given the foolishness that has gone on daily at 1600 Pennsylvania A…
389,Morning Anglers! By the sheer stupidity of April Fools I somehow regained my eyesight. Sadly I have less than desir… https://t.co/MyLmbB51UG
390,Nature’s own way of wishing you April Fool’s Day! #FeelsMoreLikeWinterThanSpring https://t.co/Y954Mskw2L
391,"RT @kanawutbb: April 2, 2021

GULF FANDOM SCORE UPDATE

➡️ 78,270 Points (⬆️ 5,095 Points)

🔥🔥🔥 HUGE JUMP!

@gulfkanawut #GulfKanawut  #ลูก…"
392,RT @gottmik: I HATE April fools and I HATE PRANKS!!!! 🤡 https://t.co/8nuqQcVIgg
393,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
394,@ZubyMusic Noooooo. Or this April Fools?
395,"RT @incorrectgenshn: hu tao: ""I love you!""

chongyun: ""I- I love you t-""

hu tao: ""april fools!""

chongyun:

hu tao: ""hey where are you goi…"
396,"RT @AvauKLclm79rDSq: DIMASH BE WITH ME 
DIMASH GOLDEN MV
DIMASH KIELI MEKEN

#DimashBeWithMe
#DimashQudaibergen

On April 2 on the official…"
397,I'm a Superman 64 speedrunner now. April Fools it's actually a totally normal stream playing Satisfactory https://t.co/RphOLjkN2O
398,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
399,"RT @YFDecentralized: April will be huge. 
*DFI SWAP
*DFI GOVERNANCE 
*DFI DEX
*DFI STAAS
#YFD @YFDecentralized https://t.co/ik5Q4aq1Ui WE A…"
400,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
401,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
402,RT @sadgirlririh: Im the foo in April fools https://t.co/hnz89osa9l
403,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
404,"@Dani_Lion 💫 I'm Eve. I'm a professional illustrator that loves to make vibrant art digitally, focusing on OC's &amp; f… https://t.co/vjEEqFWdXA"
405,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
406,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
407,@madi_mcafee so you’re not? it’s april fools mads. i’m confused
408,"RT @matetsushi: jihoon will be like: ""why do we need april fools day when we play pranks with the members the whole year?"" 

ok jihoonie...…"
409,"RT @celesitial: 🎐☁️ april ☁️🎐 

cancer scorpio pisces

this month brings brutal realizations that will lead to growth. you have a hard time…"
410,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
411,RT @BTC_Archive: Coinbase officially listing on the @Nasdaq on April 14th.
412,"RT @GainsAssociates: 🚨 GAINS Token Announcement 🐳

👉 IDO on @Poolz__ on April 6: https://t.co/O5OY2UnICr https://t.co/nvSM1qLajk"
413,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
414,"RT @LSHS_golf: Join us at our 3rd Annual Golf Tournament Fundraiser for FISD Lone Star HS Golf program!  It will be Sunday, April 18th @ In…"
415,RT @daystack: Ik today is April fools day but this isn’t a joke😭 I’m officially taken y’all
416,@1818Sfguy You’re the April fools joke 😂🤣 https://t.co/GkiGTxaCAM
417,"RT @daedosoo: Happy 2nd Anniversary to April, and a flower 🥺💕
#2AprilsWithChen https://t.co/KRNPztMKdu"
418,"IAOS Regina Weekly Newsletter - April 2, 2021 - https://t.co/DrBXcDIjOm"
419,RT @TheFknLizrdKin2: Today's the day. Squidward pulls off his April fools prank on Spongebob. #AprilFoolsDay https://t.co/1Ot2qMw9wI
420,"RT @natotally: There's been some misinformation going around about Pervis Payne. Payne is NOT being executed on April 9th, that is when his…"
421,RT @Stoic_Miiverse: ~April 1st~ #SmashBros #SmashBrosUltimate #SuperCamelotBros https://t.co/6lPTMRvEEf
422,#BigBrother 23 will air this summer and Julie Chen Moonves is returning as the host despite an April Fool’s Day pos… https://t.co/SRmlSE2QhY
423,RT @chaintyong: JOHNTEN TOOK APRIL FOOLS TO THE NEXT LEVEL PLEASE https://t.co/SZK1b8GS1b
424,@iamannapepe You mean April!
425,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
426,RT @SavageGasp: egirls went gold today &lt;3 (not april fools)
427,@Breaking911 Maybe it's an April Fools joke
428,"RT @AwengChuol: In April, 

may you win in Love, big money &amp; big happiness 

And may you continue to allow things to flow"
429,@certifiedviews @PopCrave @sza nice april fools prank bestie https://t.co/hMJ5qOGcYF
430,RT @JaylonTheGreat1: God HELP us... it’s April and we still have a FOOL in the White House 😩
431,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
432,"RT @markbeomnyoung: 210402 Jaebeom for The Star Magazine April 2021 

Upvote and recommend the articles on Naver:
https://t.co/E8MFmLFiyy
h…"
433,Trevor Bauer about to upload an April Fools vlog titled “DODGERS WIN ON OPENING DAY”
434,The complete delusion of the leftist comments on this one gets my vote for best April Fools joke. https://t.co/Jis5uZHhpr
435,RT @dearra: April baby 🔥 https://t.co/EwX97utG3l
436,April fools prank idea: pretend tomorrow is April first
437,RT @JimHalpert__: no April Fool’s prank will ever top this 😂 https://t.co/hmyDuB5VRF
438,RT @DrRichardAmlot: Please RT - we're looking for a Behavioural Scientist to work with our South West Health Protection Team. An exciting a…
439,"@anastasia_867 Oh OK, I thought you aren't his favorite and you believed the April fool."
440,"The one-shot vaccine dose is expected to be a game-changer in California, but a giant manufacturing error could cau… https://t.co/CgXk4YISGQ"
441,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
442,"RT @RubysBubys: nothing on april fools will be able to top the past week of shit like ""boss baby promoting nfts"", ""big chungus in the loone…"
443,"RT @lownchristine: Most people would spend April Fools doing some sort of meme drawing, and I was going to...but then an idea popped into m…"
444,"RT @RetireMarco: Even when it’s not April Fools, Marco Rubio is still a joke."
445,RT @ArfanKHXN: I really ain’t see no April fool jokes😂😂😂 mfs was dead serious about shit not being funny this year 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…
446,Well turns out the 8 timed 800s my trainer had on the schedule for today was not an April Fools joke. I also didn’t… https://t.co/Jrvs1sCytk
447,"RT @TerriIrwin: Beautiful baby Grace, first croc encounter...April Fool’s! https://t.co/LxmHVxKyH3"
448,"RT @dog_feelings: i wasn’t a good dog today

april fools. i was so good"
449,RT @rorofosho_: @Dodgers It’s April’s Fools Day so this game doesn’t count
